
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1464
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:2869           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       6004
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       1656
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       7004
  TCP    0.0.0.0:5985           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:7070           0.0.0.0:0              LISTENING       3904
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING       12580
  TCP    0.0.0.0:20271          0.0.0.0:0              LISTENING       3168
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       6004
  TCP    0.0.0.0:47001          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1140
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       608
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2276
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       1460
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       2972
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       3640
  TCP    0.0.0.0:49677          0.0.0.0:0              LISTENING       1112
  TCP    0.0.0.0:49678          0.0.0.0:0              LISTENING       4592
  TCP    0.0.0.0:49679          0.0.0.0:0              LISTENING       4820
  TCP    0.0.0.0:49680          0.0.0.0:0              LISTENING       4592
  TCP    0.0.0.0:49681          0.0.0.0:0              LISTENING       4820
  TCP    0.0.0.0:49682          0.0.0.0:0              LISTENING       4592
  TCP    0.0.0.0:49683          0.0.0.0:0              LISTENING       4820
  TCP    0.0.0.0:49684          0.0.0.0:0              LISTENING       4592
  TCP    0.0.0.0:49685          0.0.0.0:0              LISTENING       4592
  TCP    0.0.0.0:49686          0.0.0.0:0              LISTENING       4592
  TCP    0.0.0.0:51108          0.0.0.0:0              LISTENING       15984
  TCP    0.0.0.0:63360          0.0.0.0:0              LISTENING       26420
  TCP    127.0.0.1:3306         127.0.0.1:56500        ESTABLISHED     6004
  TCP    127.0.0.1:3306         127.0.0.1:56501        ESTABLISHED     6004
  TCP    127.0.0.1:3306         127.0.0.1:56502        ESTABLISHED     6004
  TCP    127.0.0.1:3306         127.0.0.1:56503        ESTABLISHED     6004
  TCP    127.0.0.1:3306         127.0.0.1:56509        ESTABLISHED     6004
  TCP    127.0.0.1:3306         127.0.0.1:56510        ESTABLISHED     6004
  TCP    127.0.0.1:3306         127.0.0.1:56517        ESTABLISHED     6004
  TCP    127.0.0.1:3306         127.0.0.1:56518        ESTABLISHED     6004
